name,sku,slug,description,price,sale_price,stock_quantity,size,rim_diameter,load_index,speed_rating,tire_type,ai_label,category_id
2.25-17 367,2.25-17-367-48,2.25-17-367-48,Lốp xe Motorcycle kích thước 2.25-17,0.0,0.0,100,2.25-17,431.8,33L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.50-17 367,2.50-17-367-49,2.50-17-367-49,Lốp xe Motorcycle kích thước 2.50-17,0.0,0.0,100,2.50-17,431.8,43L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.75-17 367,2.75-17-367-50,2.75-17-367-50,Lốp xe Motorcycle kích thước 2.75-17,0.0,0.0,100,2.75-17,431.8,47P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/90-17 D373,70/90-17-d373-51,70/90-17-d373-51,Lốp xe Motorcycle kích thước 70/90-17,0.0,0.0,100,70/90-17,431.8,38P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-17 D373,80/90-17-d373-52,80/90-17-d373-52,Lốp xe Motorcycle kích thước 80/90-17,0.0,0.0,100,80/90-17,431.8,44P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.25-17 301,2.25-17-301-53,2.25-17-301-53,Lốp xe Motorcycle kích thước 2.25-17,0.0,0.0,100,2.25-17,431.8,33L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.25-17 322,2.25-17-322-54,2.25-17-322-54,Lốp xe Motorcycle kích thước 2.25-17,0.0,0.0,100,2.25-17,431.8,33L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.25-17 366,2.25-17-366-55,2.25-17-366-55,Lốp xe Motorcycle kích thước 2.25-17,0.0,0.0,100,2.25-17,431.8,33L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.50-17 318,2.50-17-318-56,2.50-17-318-56,Lốp xe Motorcycle kích thước 2.50-17,0.0,0.0,100,2.50-17,431.8,43L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.50-17 339,2.50-17-339-57,2.50-17-339-57,Lốp xe Motorcycle kích thước 2.50-17,0.0,0.0,100,2.50-17,431.8,43L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.50-17 366,2.50-17-366-58,2.50-17-366-58,Lốp xe Motorcycle kích thước 2.50-17,0.0,0.0,100,2.50-17,431.8,43L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.75-17 339,2.75-17-339-59,2.75-17-339-59,Lốp xe Motorcycle kích thước 2.75-17,0.0,0.0,100,2.75-17,431.8,41P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.75-17 366,2.75-17-366-60,2.75-17-366-60,Lốp xe Motorcycle kích thước 2.75-17,0.0,0.0,100,2.75-17,431.8,47P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
3.00-17 327,3.00-17-327-61,3.00-17-327-61,Lốp xe Motorcycle kích thước 3.00-17,0.0,0.0,100,3.00-17,431.8,50P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
2.50-18 311,2.50-18-311-62,2.50-18-311-62,Lốp xe Motorcycle kích thước 2.50-18,0.0,0.0,100,2.50-18,457.2,40L,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
3.00-19 315,3.00-19-315-63,3.00-19-315-63,Lốp xe Motorcycle kích thước 3.00-19,0.0,0.0,100,3.00-19,482.6,49P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/90-14 344,70/90-14-344-64,70/90-14-344-64,Lốp xe Motorcycle kích thước 70/90-14,0.0,0.0,100,70/90-14,355.6,34P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-14 343,80/90-14-343-65,80/90-14-343-65,Lốp xe Motorcycle kích thước 80/90-14,0.0,0.0,100,80/90-14,355.6,40P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-14 344,80/90-14-344-66,80/90-14-344-66,Lốp xe Motorcycle kích thước 80/90-14,0.0,0.0,100,80/90-14,355.6,40P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
90/90-14 343,90/90-14-343-67,90/90-14-343-67,Lốp xe Motorcycle kích thước 90/90-14,0.0,0.0,100,90/90-14,355.6,46P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/90-17 340,70/90-17-340-68,70/90-17-340-68,Lốp xe Motorcycle kích thước 70/90-17,0.0,0.0,100,70/90-17,431.8,38P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/90-17 342,70/90-17-342-69,70/90-17-342-69,Lốp xe Motorcycle kích thước 70/90-17,0.0,0.0,100,70/90-17,431.8,38P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/90-17 365,70/90-17-365-70,70/90-17-365-70,Lốp xe Motorcycle kích thước 70/90-17,0.0,0.0,100,70/90-17,431.8,38P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-17 340,80/90-17-340-71,80/90-17-340-71,Lốp xe Motorcycle kích thước 80/90-17,0.0,0.0,100,80/90-17,431.8,44P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-17 342,80/90-17-342-72,80/90-17-342-72,Lốp xe Motorcycle kích thước 80/90-17,0.0,0.0,100,80/90-17,431.8,44P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
80/90-17 365,80/90-17-365-73,80/90-17-365-73,Lốp xe Motorcycle kích thước 80/90-17,0.0,0.0,100,80/90-17,431.8,44P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
70/100-17 340,70/100-17-340-74,70/100-17-340-74,Lốp xe Motorcycle kích thước 70/100-17,0.0,0.0,100,70/100-17,431.8,40P,,Motorcycle,,c70e07d4-453d-414d-b5aa-76a3cbc1990f
